Device_Name,Start,End,Removed_Hours
设备36,2013-04-02 10:34:27,2013-04-18 12:34:27,387
设备36,2013-04-18 14:34:27,2013-05-13 09:34:27,596
设备36,2013-05-13 14:34:27,2013-06-06 08:34:27,571
设备36,2013-06-14 16:34:27,2013-07-02 09:34:27,426
设备36,2013-07-02 12:34:27,2013-08-15 08:34:27,1053
设备36,2014-01-16 15:34:27,2014-02-17 08:34:27,762
设备37,2013-01-25 11:34:27,2013-02-17 08:34:27,550
设备37,2013-02-28 22:34:27,2013-04-10 07:34:27,970
设备37,2013-05-18 17:34:27,2013-06-06 08:34:27,448
设备37,2013-06-25 17:34:27,2013-08-15 15:34:27,1223
设备37,2013-09-11 22:34:27,2013-09-29 13:34:27,424
设备37,2013-09-29 20:34:27,2013-10-17 21:34:27,434
设备38,2013-01-10 08:34:27,2013-03-04 16:34:27,1281
设备38,2013-03-13 20:34:27,2013-04-18 12:34:27,857
设备38,2013-05-01 02:34:27,2013-05-31 14:34:27,733
设备38,2013-07-02 11:34:27,2013-10-24 07:34:27,2733
设备38,2013-11-29 22:34:27,2013-12-31 08:34:27,755
设备38,2014-01-07 11:34:27,2014-03-11 11:34:27,1513
设备39,2013-01-10 08:34:27,2013-08-15 07:34:27,5208
设备39,2013-08-15 09:34:27,2013-09-16 08:34:27,768
设备39,2014-01-16 15:34:27,2014-02-17 08:34:27,762
设备40,2013-01-19 11:34:27,2013-04-18 15:34:27,2141
设备40,2013-06-28 10:34:27,2013-12-01 09:34:27,3744
设备40,2013-12-12 01:34:27,2014-01-03 10:34:27,538
设备40,2014-01-03 12:34:27,2014-01-24 07:34:27,500
设备40,2014-02-11 16:34:27,2014-02-26 13:34:27,358
设备41,2013-02-05 10:34:27,2014-03-11 11:34:27,9578
设备42,2013-07-07 11:34:27,2013-08-15 07:34:27,933
设备43,2013-01-18 17:34:27,2013-02-05 12:34:27,428
设备43,2013-03-09 09:34:27,2013-03-25 16:34:27,392
设备43,2013-06-15 09:34:27,2013-11-26 15:34:27,3943
设备43,2014-02-01 01:34:27,2014-02-15 13:34:27,349
设备43,2014-02-18 00:34:27,2014-03-04 01:34:27,338
设备44,2013-05-27 17:34:27,2013-06-14 09:34:27,425
设备44,2013-06-17 10:34:27,2013-08-16 07:34:27,1438
设备45,2013-05-27 17:34:27,2013-06-14 07:34:27,423
设备45,2013-06-17 10:34:27,2013-08-16 07:34:27,1438
设备46,2013-02-05 19:34:27,2013-03-25 14:34:27,1148
设备46,2013-05-13 14:34:27,2013-06-01 18:34:27,461
设备46,2013-06-01 20:34:27,2013-06-17 07:34:27,372
设备46,2013-06-18 17:34:27,2013-07-04 15:34:27,383
设备46,2013-07-05 10:34:27,2013-08-15 07:34:27,982
设备46,2013-08-15 09:34:27,2013-09-02 16:34:27,440
设备46,2014-01-23 10:34:27,2014-02-12 15:34:27,486
设备47,2013-07-07 18:34:27,2013-08-15 07:34:27,926
设备48,2013-01-19 08:34:27,2013-02-05 17:34:27,418
设备48,2013-02-05 19:34:27,2013-03-11 15:34:27,813
设备48,2013-03-11 17:34:27,2013-04-06 14:34:27,622
设备48,2013-04-18 20:34:27,2013-05-13 09:34:27,590
设备48,2013-06-13 18:34:27,2013-07-04 15:34:27,502
设备48,2013-07-05 10:34:27,2013-09-03 09:34:27,1440
设备48,2013-09-14 15:34:27,2013-10-19 14:34:27,840
设备48,2013-10-22 21:34:27,2013-11-07 14:34:27,378
设备48,2013-12-07 12:34:27,2014-01-10 15:34:27,820
设备48,2014-01-13 15:34:27,2014-03-11 11:34:27,1365
设备49,2013-01-25 15:34:27,2013-02-26 07:34:27,761
设备49,2013-07-04 09:34:27,2013-08-19 14:34:27,1110
设备49,2014-01-28 01:34:27,2014-02-18 09:34:27,513
设备50,2013-07-05 10:34:27,2013-08-15 09:34:27,984
设备51,2013-07-05 10:34:27,2013-08-15 09:34:27,984
设备52,2013-07-05 12:34:27,2013-08-15 09:34:27,982
设备52,2014-01-27 02:34:27,2014-02-18 09:34:27,536
设备53,2013-01-28 19:34:27,2013-02-17 08:34:27,470
设备53,2013-02-17 11:34:27,2013-03-04 07:34:27,357
设备53,2013-07-05 12:34:27,2013-08-15 09:34:27,982
设备54,2013-01-22 18:34:27,2013-02-16 14:34:27,597
设备54,2013-05-28 11:34:27,2013-06-13 08:34:27,382
设备54,2013-07-04 11:34:27,2013-08-15 09:34:27,1007
设备55,2013-01-22 18:34:27,2013-02-16 15:34:27,598
设备55,2013-05-28 11:34:27,2013-06-13 09:34:27,383
设备55,2013-07-04 11:34:27,2013-08-15 09:34:27,1007
设备56,2013-01-19 14:34:27,2013-02-08 09:34:27,476
设备56,2013-03-10 10:34:27,2013-04-07 15:34:27,678
设备56,2013-07-08 08:34:27,2013-08-16 09:34:27,938
设备57,2013-02-13 16:34:27,2013-03-04 21:34:27,462
设备57,2013-03-10 10:34:27,2013-03-26 07:34:27,382
设备57,2013-07-04 09:34:27,2013-08-15 07:34:27,1007
