device,fold,seq_len,train_windows,train_positive,val_windows,val_positive,test_windows,test_positive,status
设备14,9,6,4539,164,565,36,564,10,ready
设备14,9,12,4515,164,559,36,558,10,ready
设备14,9,24,4467,162,547,36,546,10,ready
设备15,0,3,1904,25,236,5,236,2,ready
设备15,0,6,1898,24,233,5,233,2,ready
设备15,0,12,1886,24,227,4,227,2,ready
设备15,0,24,1862,24,215,4,215,2,ready
设备15,1,3,1901,25,236,2,236,5,ready
设备15,1,6,1892,24,233,2,233,5,ready
设备15,1,12,1874,24,227,2,227,4,ready
设备15,1,24,1838,24,215,2,215,4,ready
设备15,2,3,1901,29,236,1,236,2,ready
设备15,2,6,1892,28,233,1,233,2,ready
设备15,2,12,1874,28,227,1,227,2,ready
设备15,2,24,1838,28,215,1,215,2,ready
设备15,3,3,1902,30,235,1,236,1,ready
设备15,3,6,1893,29,232,1,233,1,ready
设备15,3,12,1875,29,226,1,227,1,ready
设备15,3,24,1839,29,214,1,215,1,ready
设备15,4,3,1902,27,236,4,235,1,ready
设备15,4,6,1893,26,233,4,232,1,ready
设备15,4,12,1875,26,227,4,226,1,ready
设备15,4,24,1839,26,215,4,214,1,ready
设备15,5,3,1901,25,236,3,236,4,ready
设备15,5,6,1892,24,233,3,233,4,ready
设备15,5,12,1874,24,227,3,227,4,ready
设备15,5,24,1838,24,215,3,215,4,ready
设备15,6,3,1901,25,236,4,236,3,ready
设备15,6,6,1892,24,233,4,233,3,ready
设备15,6,12,1874,24,227,4,227,3,ready
设备15,6,24,1838,24,215,4,215,3,ready
设备15,7,3,1901,24,236,4,236,4,ready
设备15,7,6,1892,23,233,4,233,4,ready
设备15,7,12,1874,23,227,4,227,4,ready
设备15,7,24,1838,21,215,4,215,4,ready
设备15,8,3,1908,22,232,6,236,4,ready
设备15,8,6,1905,22,226,5,233,4,ready
设备15,8,12,1899,22,214,5,227,4,ready
设备15,8,24,1887,22,190,3,215,4,ready
设备15,9,3,1908,24,236,2,232,6,ready
设备15,9,6,1905,24,233,2,226,5,ready
设备15,9,12,1899,23,227,2,214,5,ready
设备15,9,24,1887,23,215,2,190,3,ready
设备16,0,3,1592,33,199,8,199,0,ready
设备16,0,6,1574,33,196,8,196,0,ready
设备16,0,12,1538,33,190,8,190,0,ready
设备16,0,24,1466,33,178,7,178,0,ready
设备16,1,3,1589,32,199,1,199,8,ready
设备16,1,6,1568,32,196,1,196,8,ready
设备16,1,12,1526,32,190,1,190,8,ready
设备16,1,24,1442,32,178,1,178,7,ready
设备16,2,3,1589,39,199,1,199,1,ready
设备16,2,6,1568,39,196,1,196,1,ready
设备16,2,12,1526,39,190,1,190,1,ready
设备16,2,24,1442,39,178,1,178,1,ready
设备16,3,3,1599,35,189,5,199,1,ready
设备16,3,6,1584,35,180,5,196,1,ready
设备16,3,12,1554,35,162,5,190,1,ready
设备16,3,24,1494,35,126,5,178,1,ready
设备16,4,3,1606,33,192,3,189,5,ready
设备16,4,6,1597,33,183,3,180,5,ready
设备16,4,12,1579,33,165,3,162,5,ready
设备16,4,24,1543,33,129,3,126,5,ready
设备16,5,3,1596,32,199,6,192,3,ready
