Device_Name,Category,File_Path,Root_Path,Data_Path,Sparsity,Mean_Intensity,CV,Cluster,Label,Model,Window_Count,Level4_Positive_Windows,Level4_Total_Count,Input_SHA256
设备33,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备33/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备33,window_60_data2.csv,0.9972559780478244,0.0027440219521756176,19.063802648699745,0,Sparse,PatchTST,10204,28,28.0,85da19be679bb387283ebb7c52100f78b1c39c5d8d89847166f9588b0c483672
设备34,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备34/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备34,window_60_data2.csv,0.9976479811838495,0.0024500196001568013,20.971714283768026,0,Sparse,PatchTST,10204,24,25.0,3a158c12366ef05ae2bcd9c4292dbd02fcf813957c8ab20a8e512122dc7b8d01
设备35,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备35/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备35,window_60_data2.csv,0.9977459819678557,0.0022540180321442573,21.03930069924006,0,Sparse,PatchTST,10204,23,23.0,3dc8ef301c4c2f6f0da03e2a54e2929436de8b6b9c8db0fe934b2b23ceb8ac26
设备36,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备36/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备36,window_60_data2.csv,0.9975499803998432,0.0024500196001568013,20.178206064960282,0,Sparse,PatchTST,10204,25,25.0,08c3acebe5ab124d346d0ad987ab30c7e522ca8bbf35bcd17f72e54767849d03
设备37,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备37/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备37,window_60_data2.csv,0.9972559780478244,0.0028420227361818894,19.368232199902657,0,Sparse,PatchTST,10204,28,29.0,21ca66f65067526a7654690c6913c98cc44d989d2cce345f5dce71879b1f1dce
设备38,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备38/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备38,window_60_data2.csv,0.9962759702077617,0.0051940415523324185,19.873460498420283,0,Sparse,PatchTST,10204,38,53.0,963aac6a5fb5940f4beccb92074c21f8b2f96804ff9bff90deecbb832f1ea213
设备39,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备39/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备39,window_60_data2.csv,0.9914739317914544,0.016170129361034888,14.098573347384786,2,Intermittent,iTransformer,10204,87,165.0,a5f9d13647570ce1d37b7833d94bc1c6b46cad22c69201dcf03671a5cde53285
设备40,S5300_S5352C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5352C-EI/设备40/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5352C-EI/设备40,window_60_data2.csv,0.9968639749117993,0.0031360250882007056,17.82904932967543,0,Sparse,PatchTST,10204,32,32.0,c1e12dd2f1ed07f2a55588924a45432e0cd84573e1f4f0cad59cb8cc5df2276a
设备42,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备42/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备42,window_60_data2.csv,0.9939239513916112,0.006174049392395139,12.88837085517714,2,Intermittent,iTransformer,10204,62,63.0,e9848b86effe4da9df88f07f0f5628383b23e40ec6a1038f1d1d291abfbad102
设备43,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备43/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备43,window_60_data2.csv,0.9970599764798118,0.0029400235201881616,18.415573119871485,0,Sparse,PatchTST,10204,30,30.0,a196ea04d8f1cafedee045c971cfdffdac7d87669edde49bcc1d159e5e55cf93
设备44,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备44/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备44,window_60_data2.csv,0.9832418659349275,0.01675813406507252,7.659798601783407,2,Intermittent,iTransformer,10204,171,171.0,958a3c32cf00624b9837aed9028cb225706cf90cea23c93e36eeb0e9d6748956
设备45,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备45/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备45,window_60_data2.csv,0.9832418659349275,0.01675813406507252,7.659798601783407,2,Intermittent,iTransformer,10204,171,171.0,2fea6c8f9a6a0dcb76d19d6e5796d2f88e3d8f9f091c7f9735d8ddbaba5465f2
