Device,Seq_Len,MSE,MAE,Model
设备63,24,0.0031955988151203944,0.0059250976688142555,XGBoost
设备58,3,6.434171637815629e-06,0.0009489736262026039,XGBoost
设备58,6,1.4126540659893158e-05,0.0007936206376339839,XGBoost
设备58,12,1.7306914152779607e-05,0.0008672901051043148,XGBoost
设备58,24,0.0001900174535870724,0.001026465388396064,XGBoost
设备19,3,0.047321476774604646,0.0314686535116119,XGBoost
设备19,6,0.04502234094337976,0.028880324156260958,XGBoost
设备19,12,0.04498956158278702,0.02871856746702743,XGBoost
设备19,24,0.04495000896921556,0.02845812621819174,XGBoost
设备11,3,0.002934114182962889,0.004658113570613736,XGBoost
设备11,6,0.0029381231458826557,0.00447148333141562,XGBoost
设备11,12,0.0031325853407090237,0.004740966423887389,XGBoost
设备11,24,0.003157880777004313,0.004295495199279728,XGBoost
设备21,3,0.002452318239201261,0.004675342181185512,XGBoost
设备21,6,0.0024545243573438655,0.004689531137381553,XGBoost
设备21,12,0.0024693038128701062,0.004757557217193408,XGBoost
设备21,24,0.0024881347919878684,0.00483506814340424,XGBoost
设备34,3,0.001958000137700011,0.004498907691620689,XGBoost
设备34,6,0.001966991970029718,0.00445719442362258,XGBoost
设备34,12,0.0019820124243145314,0.00447547807273249,XGBoost
设备34,24,0.00198842715486481,0.004513233267962439,XGBoost
设备31,3,0.001955878121353216,0.0037491597273532577,XGBoost
设备31,6,0.0019567210137189013,0.003712801712190769,XGBoost
设备31,12,0.0019662032636014316,0.0036839728503770736,XGBoost
设备31,24,0.0019807059069189364,0.0036887492932386563,XGBoost
设备80,3,0.012752080043434356,0.02624993203714351,XGBoost
设备80,6,0.01234095707081431,0.02553293700558225,XGBoost
设备80,12,0.013289773894524164,0.0266308308386734,XGBoost
设备80,24,0.013431899921205498,0.026114459569915427,XGBoost
设备2,3,0.00991557329209686,0.02010456139166118,XGBoost
设备2,6,0.009573672768377612,0.019421440869907613,XGBoost
设备2,12,0.00987845881479685,0.019841062123811877,XGBoost
设备2,24,0.009963208071283942,0.01832608481222299,XGBoost
设备57,3,0.007988432776980327,0.017465177938042756,XGBoost
设备57,6,0.007600049502810474,0.01681380218954063,XGBoost
设备57,12,0.007515974491260398,0.01671958937185902,XGBoost
设备57,24,0.008151008706019085,0.01566097728472591,XGBoost
设备10,3,0.0029353066176405077,0.004658023201009932,XGBoost
设备10,6,0.002958324815493949,0.004613792752920121,XGBoost
设备10,12,0.0029511366408202103,0.004335059243155704,XGBoost
设备10,24,0.002944284491671553,0.0037459471494678503,XGBoost
设备33,3,0.0024542236373166484,0.0051485762880300115,XGBoost
设备33,6,0.002464289968804732,0.005154214546372019,XGBoost
设备33,12,0.0024969534915077205,0.005560155611089236,XGBoost
设备33,24,0.0028811661925540813,0.006068211052786789,XGBoost
设备71,3,0.02093416017928757,0.030777431497900642,XGBoost
设备71,6,0.021082048496054356,0.031141995686544653,XGBoost
设备71,12,0.021176281550193323,0.030914818867584282,XGBoost
设备71,24,0.021175141767647506,0.029329669640778266,XGBoost
设备14,3,0.1093962937023066,0.08090819750348036,XGBoost
设备14,6,0.10563197048671966,0.08057330977445577,XGBoost
设备14,12,0.10415432781451611,0.08073286751085137,XGBoost
设备14,24,0.10084782067735586,0.07640491100302614,XGBoost
设备55,3,0.011150406631652718,0.029397539344070033,XGBoost
设备55,6,0.011258798436259772,0.02926538048092933,XGBoost
设备55,12,0.011173649758290244,0.028917866754434664,XGBoost
设备55,24,0.011249615189679756,0.027711646709580172,XGBoost
设备1,3,0.001956845576862204,0.0036382935479778882,XGBoost
设备1,6,0.0019628084885375415,0.0036137844493222314,XGBoost
设备1,12,0.0019811283364399297,0.003454590969296038,XGBoost
设备1,24,0.001983692071826511,0.003211021894890511,XGBoost
设备49,3,0.024785102811167407,0.03322663362649494,XGBoost
