device,seq_len,split,rows,target_start,target_end,windows,gap_rejected,positive,negative
设备39,6,test,3466,2773,3466,687,6,5,682
设备39,12,train,3466,0,2426,2413,1,2141,272
设备39,12,val,3466,2426,2773,347,0,124,223
设备39,12,test,3466,2773,3466,681,12,5,676
设备39,24,train,3466,0,2426,2401,1,2141,260
设备39,24,val,3466,2426,2773,347,0,124,223
设备39,24,test,3466,2773,3466,669,24,5,664
设备3,3,train,6051,0,4235,4220,12,61,4159
设备3,3,val,6051,4235,4841,606,0,20,586
设备3,3,test,6051,4841,6051,1206,4,18,1188
设备3,6,train,6051,0,4235,4205,24,61,4144
设备3,6,val,6051,4235,4841,606,0,20,586
设备3,6,test,6051,4841,6051,1203,7,17,1186
设备3,12,train,6051,0,4235,4175,48,61,4114
设备3,12,val,6051,4235,4841,606,0,20,586
设备3,12,test,6051,4841,6051,1197,13,17,1180
设备3,24,train,6051,0,4235,4115,96,60,4055
设备3,24,val,6051,4235,4841,606,0,20,586
设备3,24,test,6051,4841,6051,1185,25,17,1168
设备40,3,train,2923,0,2046,2037,6,33,2004
设备40,3,val,2923,2046,2339,289,4,7,282
设备40,3,test,2923,2339,2923,581,3,9,572
设备40,6,train,2923,0,2046,2028,12,33,1995
设备40,6,val,2923,2046,2339,286,7,7,279
设备40,6,test,2923,2339,2923,578,6,9,569
设备40,12,train,2923,0,2046,2010,24,33,1977
设备40,12,val,2923,2046,2339,280,13,7,273
设备40,12,test,2923,2339,2923,572,12,9,563
设备40,24,train,2923,0,2046,1974,48,29,1945
设备40,24,val,2923,2046,2339,268,25,7,261
设备40,24,test,2923,2339,2923,560,24,9,551
设备41,3,train,626,0,438,435,0,5,430
设备41,3,val,626,438,501,63,0,0,63
设备41,3,test,626,501,626,125,0,2,123
设备41,6,train,626,0,438,432,0,5,427
设备41,6,val,626,438,501,63,0,0,63
设备41,6,test,626,501,626,125,0,2,123
设备41,12,train,626,0,438,426,0,5,421
设备41,12,val,626,438,501,63,0,0,63
设备41,12,test,626,501,626,125,0,2,123
设备41,24,train,626,0,438,414,0,5,409
